model_id,arch,metric,quality,params,psnr,mse,bpp,compression_ratio,time
bmshj2018-factorized_ms-ssim_q1,bmshj2018-factorized,ms-ssim,1,2998147,61.6676,164556.614119,7.3757,1162.73,0.54
bmshj2018-factorized_ms-ssim_q2,bmshj2018-factorized,ms-ssim,2,2998147,64.9730,76873.715998,10.5602,812.11,0.54
bmshj2018-factorized_ms-ssim_q3,bmshj2018-factorized,ms-ssim,3,2998147,68.2487,36158.570592,14.8082,579.14,0.54
bmshj2018-factorized_ms-ssim_q4,bmshj2018-factorized,ms-ssim,4,2998147,69.4820,27219.638732,20.2460,423.59,0.54
bmshj2018-factorized_ms-ssim_q5,bmshj2018-factorized,ms-ssim,5,2998147,72.2874,14267.285399,27.8775,307.63,0.54
bmshj2018-factorized_ms-ssim_q6,bmshj2018-factorized,ms-ssim,6,7030531,72.3156,14174.714543,38.1599,224.74,1.36
bmshj2018-factorized_ms-ssim_q7,bmshj2018-factorized,ms-ssim,7,7030531,75.6529,6573.339756,50.3657,170.27,1.36
bmshj2018-factorized_ms-ssim_q8,bmshj2018-factorized,ms-ssim,8,7030531,77.8471,3966.184112,66.2115,129.52,1.36
bmshj2018-factorized_mse_q1,bmshj2018-factorized,mse,1,2998147,62.7486,128298.505433,7.0200,1221.65,0.94
bmshj2018-factorized_mse_q2,bmshj2018-factorized,mse,2,2998147,66.5361,53637.791213,9.9063,865.71,0.53
bmshj2018-factorized_mse_q3,bmshj2018-factorized,mse,3,2998147,68.8523,31466.918115,13.9519,614.68,0.54
bmshj2018-factorized_mse_q4,bmshj2018-factorized,mse,4,2998147,69.0300,30204.901290,19.6127,437.27,0.54
bmshj2018-factorized_mse_q5,bmshj2018-factorized,mse,5,2998147,71.4382,17348.591974,27.4055,312.93,0.55
bmshj2018-factorized_mse_q6,bmshj2018-factorized,mse,6,7030531,73.2071,11544.445826,38.3282,223.75,1.37
bmshj2018-factorized_mse_q7,bmshj2018-factorized,mse,7,7030531,76.0108,6053.377945,53.3795,160.66,1.36
bmshj2018-factorized_mse_q8,bmshj2018-factorized,mse,8,7030531,77.5618,4235.427713,72.2958,118.62,1.36
bmshj2018-hyperprior_ms-ssim_q1,bmshj2018-hyperprior,ms-ssim,1,5075843,60.0714,237651.659297,5.3329,1608.12,0.54
bmshj2018-hyperprior_ms-ssim_q2,bmshj2018-hyperprior,ms-ssim,2,5075843,64.1133,93701.839774,7.5733,1132.40,0.55
bmshj2018-hyperprior_ms-ssim_q3,bmshj2018-hyperprior,ms-ssim,3,5075843,65.4425,68996.957055,10.5428,813.45,0.55
bmshj2018-hyperprior_ms-ssim_q4,bmshj2018-hyperprior,ms-ssim,4,5075843,65.7586,64153.393454,14.1063,607.95,0.57
bmshj2018-hyperprior_ms-ssim_q5,bmshj2018-hyperprior,ms-ssim,5,5075843,72.4919,13610.934435,19.1459,447.93,0.55
bmshj2018-hyperprior_ms-ssim_q6,bmshj2018-hyperprior,ms-ssim,6,11816323,75.2527,7207.867011,25.4159,337.43,1.38
bmshj2018-hyperprior_ms-ssim_q7,bmshj2018-hyperprior,ms-ssim,7,11816323,76.5183,5385.786683,34.3919,249.36,1.37
bmshj2018-hyperprior_ms-ssim_q8,bmshj2018-hyperprior,ms-ssim,8,11816323,76.2564,5720.530370,43.2121,198.46,1.37
bmshj2018-hyperprior_mse_q1,bmshj2018-hyperprior,mse,1,5075843,65.7103,64870.311414,4.4911,1909.56,0.56
bmshj2018-hyperprior_mse_q2,bmshj2018-hyperprior,mse,2,5075843,66.3605,55851.045947,6.0957,1406.90,0.55
bmshj2018-hyperprior_mse_q3,bmshj2018-hyperprior,mse,3,5075843,70.4799,21631.397679,8.3827,1023.06,0.54
bmshj2018-hyperprior_mse_q4,bmshj2018-hyperprior,mse,4,5075843,70.8426,19898.321585,11.1057,772.21,0.54
bmshj2018-hyperprior_mse_q5,bmshj2018-hyperprior,mse,5,5075843,74.2717,9034.539652,14.9674,572.98,0.55
bmshj2018-hyperprior_mse_q6,bmshj2018-hyperprior,mse,6,11816323,76.0801,5957.539866,19.8643,431.73,1.37
bmshj2018-hyperprior_mse_q7,bmshj2018-hyperprior,mse,7,11816323,77.3252,4472.627789,26.5453,323.07,1.37
bmshj2018-hyperprior_mse_q8,bmshj2018-hyperprior,mse,8,11816323,79.2970,2840.383546,35.4579,241.86,1.37
cheng2020-anchor_ms-ssim_q1,cheng2020-anchor,ms-ssim,1,11833149,69.7103,25825.699786,5.2956,1619.47,2.02
cheng2020-anchor_ms-ssim_q2,cheng2020-anchor,ms-ssim,2,11833149,70.6887,20616.287403,8.0247,1068.69,2.02
cheng2020-anchor_ms-ssim_q3,cheng2020-anchor,ms-ssim,3,11833149,72.1803,14623.559569,11.7888,727.47,2.02
cheng2020-anchor_ms-ssim_q4,cheng2020-anchor,ms-ssim,4,11833149,72.7293,12886.908077,12.1541,705.61,2.02
cheng2020-anchor_ms-ssim_q5,cheng2020-anchor,ms-ssim,5,26598956,76.8357,5006.191329,17.7336,483.60,3.78
cheng2020-anchor_ms-ssim_q6,cheng2020-anchor,ms-ssim,6,26598956,77.9523,3871.259289,23.4828,365.20,3.79
cheng2020-anchor_mse_q1,cheng2020-anchor,mse,1,11833149,71.3569,17676.118350,2.7985,3064.55,2.05
