模型检查:
  - 模型类型: VAEformer
  - 输入通道数: 268
  - 总参数量: 404,682,016
  - 总通道数: 268

整体误差指标:
  MSE: 1003.34350586
  RMSE: 31.675598
  PSNR: 83.82 dB (使用数据范围: 491518.22)

================================================================================
性能统计
================================================================================
平均编码时间: 0.7100s (标准差: 0.0000s)
平均解码时间: 0.6202s (标准差: 0.0000s)

================================================================================
整体压缩质量评估
================================================================================
 MSE: 1003.34350586 
 RMSE: 31.675598 
 PSNR: 83.82 dB 

================================================================================
各变量的 MSE, RMSE 和 PSNR (平均值)
================================================================================
Channel  变量名             平均MSE           平均RMSE          PSNR           
--------------------------------------------------------------------------------
0        z_1000          125.53553009    11.204264       57.33          
1        z_975           95.72233582     9.783779        58.52          
2        z_950           75.51066589     8.689688        59.57          
3        z_925           61.02971649     7.812152        60.50          
4        z_900           49.55625534     7.039620        61.42          
5        z_875           41.64447403     6.453253        62.29          
6        z_850           36.26449203     6.022001        63.01          
7        z_825           32.87921524     5.734040        63.56          
8        z_800           31.41215897     5.604655        63.93          
9        z_775           31.35494804     5.599549        64.13          
10       z_750           33.27730942     5.768649        64.06          
11       z_700           40.42691040     6.358216        63.62          
12       z_650           49.64560318     7.045964        63.43          
13       z_600           50.21752930     7.086433        64.12          
14       z_550           52.70213318     7.259624        64.62          
15       z_500           56.42891693     7.511919        65.08          
16       z_450           65.52233124     8.094586        65.17          
17       z_400           75.57430267     8.693348        65.25          
18       z_350           80.22149658     8.956645        65.64          
19       z_300           98.24506378     9.911865        65.42          
20       z_250           92.69689941     9.627923        66.24          
21       z_225           90.60468292     9.518649        66.58          
22       z_200           95.38722229     9.766638        66.55          
23       z_175           95.76435852     9.785927        66.68          
24       z_150           110.36575317    10.505510       66.13          
25       z_125           138.84112549    11.783087       65.12          
26       z_100           227.31083679    15.076831       62.90          
27       z_70            202.48956299    14.229883       63.29          
28       z_50            232.65339661    15.252980       63.29          
29       z_30            290.58779907    17.046637       64.11          
30       z_20            398.49099731    19.962240       64.05          
31       z_10            535.37744141    23.138226       64.71          
32       z_7             679.88446045    26.074594       64.59          
33       z_5             779.44604492    27.918560       64.86          
34       z_3             1033.30969238   32.145134       64.87          
35       z_2             1241.76147461   35.238636       64.96          
36       z_1             1993.37084961   44.647182       64.11          
37       q_1000          0.00000011      0.000327        38.32          
38       q_975           0.00000010      0.000319        38.31          
39       q_950           0.00000011      0.000339        37.27          
40       q_925           0.00000012      0.000346        36.39          
41       q_900           0.00000011      0.000331        35.98          
42       q_875           0.00000010      0.000318        36.20          
43       q_850           0.00000009      0.000298        36.50          
44       q_825           0.00000008      0.000279        36.57          
45       q_800           0.00000007      0.000259        36.45          
46       q_775           0.00000006      0.000244        36.33          
47       q_750           0.00000007      0.000262        35.25          
48       q_700           0.00000007      0.000259        34.01          
49       q_650           0.00000005      0.000225        34.40          
50       q_600           0.00000004      0.000188        34.31          
51       q_550           0.00000003      0.000164        34.32          
52       q_500           0.00000002      0.000129        34.78          
53       q_450           0.00000001      0.000100        34.96          
54       q_400           0.00000000      0.000068        35.70          
55       q_350           0.00000000      0.000042        36.33          
56       q_300           0.00000000      0.000024        36.29          
57       q_250           0.00000000      0.000011        35.74          
58       q_225           0.00000000      0.000006        inf            
59       q_200           0.00000000      0.000003        inf            
60       q_175           0.00000000      0.000001        inf            
61       q_150           0.00000000      0.000000        inf            
62       q_125           0.00000000      0.000000        inf            
63       q_100           0.00000000      0.000000        inf            
64       q_70            0.00000000      0.000000        inf            
65       q_50            0.00000000      0.000000        inf            
66       q_30            0.00000000      0.000000        inf            
67       q_20            0.00000000      0.000000        inf            
68       q_10            0.00000000      0.000000        inf            
69       q_7             0.00000000      0.000000        inf            
